brand,name,models,color,ram,storage,rom,screen,screen_size,sim,os,behind_camera,front_camera,url,error_url
OnePlus,One,A0001,"['Silk White', ' Sandstone Black']","['3GB', '3GB']","['16GB', '64GB']",-1,"LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm",Micro-SIM,"Android 4.4.2 (KitKat), upgradable to 6.0.1 (Marshmallow)","['13 MP, f/2.0, 1/3"", 1.12µm, AF']","['5 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/oneplus_one-6327.php,-1
Realme,1,"CPH1859, CPH1861","['Diamond Black', ' Solar Red', ' Moonlight Silver']","['3GB', '4GB', '6GB']","['32GB', '64GB', '128GB']",-1,"IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 92.9 cm","Dual SIM (Nano-SIM, dual stand-by)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); ColorOS 6","['13 MP, f/2.2, PDAF']","['8 MP, f/2.2']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/realme_1-9200.php,-1
Realme,2,"RMX1805, RMX1809","['Diamond Black', ' Diamond Red', ' Diamond Blue']","['3GB', '4GB']","['32GB', '64GB']",-1,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm","Dual SIM (Nano-SIM, dual stand-by)","Android 8.1 (Oreo), upgradable to Android 9.0 (Pie); ColorOS 6","['13 MP, f/2.2, AF', '2 MP, f/2.4, depth sensor']","['8 MP, f/2.2, 1/4"", 1.12µm']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/realme_2-9299.php,-1
Google,Pixel C,"RMX1805, RMX1809",['Silver Aluminum'],"['3GB', '3GB']","['32GB', '64GB']",-1,"LTPS IPS LCD capacitive touchscreen, 16M colors","10.2 inches, 313.8 cm",No,"Android 6.0.1 (Marshmallow), upgradable to Android 8.0 (Oreo)","['8 MP, f/2.4']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/google_pixel_c-7826.php,-1
Plum,Sync 5.0,"RMX1805, RMX1809","['Black/Gold', ' White/Silver', ' Pink/Silver', ' Blue/Silver']",['512MB'],['4GB'],-1,"TFT capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Dual SIM,Android 4.2.2 (Jelly Bean),"['5 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_sync_5_0-6616.php,-1
Plum,Might LTE,"RMX1805, RMX1809","['Black', ' White']",['1GB'],['8GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm",Mini-SIM,Android 4.4.2 (KitKat),"['8 MP, AF']",['2 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_might_lte-6755.php,-1
Plum,Trigger Plus III,"RMX1805, RMX1809","['Black', ' White', ' Red', ' Blue']",['256MB'],['512MB'],-1,"TFT capacitive touchscreen, 16M colors","3.5 inches, 36.5 cm",Dual SIM,Android 4.4.2 (KitKat),"['1.3 MP, AF']",['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_trigger_plus_iii-7011.php,-1
Honor,5c,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Silver', ' Gray', ' Gold']",['2GB'],['16GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm","Hybrid Dual SIM (Nano-SIM, dual stand-by)","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); EMUI 4.1","['13 MP, f/2.0, AF']","['8 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/honor_5c-8074.php,-1
Honor,5c,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Silver', ' Gray', ' Gold']",['2GB'],['16GB'],-1,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm","Hybrid Dual SIM (Nano-SIM, dual stand-by)","Android 6.0 (Marshmallow), upgradable to 7.0 (Nougat); EMUI 4.1","['13 MP, f/2.0, AF']","['8 MP, f/2.0']",http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/honor_5c-8074.php,-1
Plum,Capacity,"NEM-UL10, NEM-TL00H, NEM-L21, NMO-L31, NMO-L22, NMO-L23, NMO-L01, NEM-L22, NEM-L51, NEM-AL10","['Black', ' Red']",['256MB'],['512MB'],-1,TFT capacitive touchscreen,"3.5 inches, 36.5 cm",Dual SIM (Mini-SIM),Android 2.3 (Gingerbread),['3.15 MP'],['1.3 MP'],http://webcache.googleusercontent.com/search?q=cache:https://www.gsmarena.com/plum_capacity-4765.php,-1
